PCode,P_Prefix_K,Province_K,Province,Province_K_ascii,P_Prefix_K_ascii,Province_KS,Percent,LOCPCode,Id,IsDeleted,DateCreated,LastUpdated,IsActive
27,,"កម្ពុជាក្រោម",,"128.152.360.187.322.182.310.364.196.348","147.197",,,27,1,0,"09/08/19 13:31:52",,1
28,,"ក្រុងកែប",,"128.364.187.319.128.194.148",,,,28,2,0,"09/08/19 13:31:52",,1
29,,"ក្រុងកំពង់សោម",,"128.364.187.319.128.199.150.132.903.159.196.348","147.197",,,29,3,0,"09/08/19 13:31:52",,1
30,,"ក្រុងព្រះសីហនុ",,"128.364.187.319.150.364.201.159.184.160.147.187",,,,30,4,0,"09/08/19 13:31:52",,1
31,"ជំរុំ","ខាវអ៊ីដាង",,"129.182.338.162.208.184.138.182.314","147.197",,,31,5,0,"09/08/19 13:31:52",,1
32,,"ខេត្ត ព្រះត្រពាំង",,"129.193.336.353.032.150.364.201.143.364.150.200.132","147.197",,,32,6,0,"09/08/19 13:31:52",,1
33,,"ខេត្ត សូរិន្ទ",,"129.193.336.353.032.159.188.154.183.330.355","147.197",,,33,7,0,"09/08/19 13:31:52",,1
34,"ជំរុំ","ជាយដែនកម្ពុជា-ថៃ",,"135.182.335.138.194.147.128.152.360.187.322.182.227.144.195","147.197",,,34,8,0,"09/08/19 13:31:52",,1
35,"ជំរុំ","ដងរែក",,"138.132.154.194.128","147.197",,,35,9,0,"09/08/19 13:31:52",,1
36,"ជំរុំ","តាទុំ",,"143.182.327.198","147.197",,,36,10,0,"09/08/19 13:31:52",,1
37,"ជំរុំ","ណងច័ន្ទ",,"142.132.133.908.147.355","147.197",,,37,11,0,"09/08/19 13:31:52",,1
38,"ជំរុំ","ណងឯក",,"142.132.175.128","147.197",,,38,12,0,"09/08/19 13:31:52",,1
39,"ជំរុំ","បាំងភូ",,"148.200.132.151.188","147.197",,,39,13,0,"09/08/19 13:31:52",,1
40,,"ខេត្តឈុនបូរី",,"129.193.336.353.136.187.334.148.188.154.184",,,,40,14,0,"09/08/19 13:31:52",,1
41,"ជំរុំ","ភ្នំម៉ាឡៃ",,"151.357.199.152.207.182.343.195","147.197",,,41,15,0,"09/08/19 13:31:52",,1
42,"ជំរុំ","ភ្នំឆ័ត្រ",,"151.357.199.134.908.143.364","147.197",,,42,16,0,"09/08/19 13:31:52",,1
43,"ជំរុំ","សន្តិសុខ",,"159.147.353.183.342.187.316","147.197",,,43,17,0,"09/08/19 13:31:52",,1
44,"ជំរុំ","សម្តេចឪ",,"159.152.353.193.326.170","147.197",,,44,18,0,"09/08/19 13:31:52",,1
45,"ជំរុំ","សាយធូ",,"159.182.335.146.188","147.197",,,45,19,0,"09/08/19 13:31:52",,1
46,"ជំរុំ","សាយប៊ី",,"159.182.335.148.208.184","147.197",,,46,20,0,"09/08/19 13:31:52",,1
47,"ជំរុំ","សាយអេក",,"159.182.335.162.193.321","147.197",,,47,21,0,"09/08/19 13:31:52",,1
48,"ជំរុំ","សុខសាន្ត",,"159.187.316.159.182.329.353","147.197",,,48,22,0,"09/08/19 13:31:52",,1
49,"ជំរុំ","អំពិល",,"162.199.150.183.338","147.197",,,49,23,0,"09/08/19 13:31:52",,1
50,"ជំរុំ","ឫទ្ធិសែន",,"171.145.356.183.342.194.147","147.197",,,50,24,0,"09/08/19 13:31:52",,1
51,"ជំរុំ","ទី៧",,"145.184.231","147.197",,,51,25,0,"09/08/19 13:31:52",,1
52,"ជំរុំ","ទី៨",,"145.184.232","147.197",,,52,26,0,"09/08/19 13:31:52",,1
53,,"ប្រទេសចិន",,"148.364.145.193.352.133.183.330","147.197",,,53,27,0,"09/08/19 13:31:52",,1
54,,"ប្រទេសថៃ",,"148.364.145.193.352.144.195","147.197",,,54,28,0,"09/08/19 13:31:52",,1
55,,"ប្រទេសអាឡឺម៉ង់",,"148.364.145.193.352.162.182.343.186.152.207.132.903",,,,55,29,0,"09/08/19 13:31:52",,1
56,,"ប្រទេស ប៊ុលហ្គារី",,"148.364.145.193.352.032.148.208.187.342.160.340.182.336.184","147.197",,,56,30,0,"09/08/19 13:31:52",,1
57,,"ប្រទេសវៀតណាម",,"148.364.145.193.352.156.192.143.142.182.334","147.197",,,57,31,0,"09/08/19 13:31:52",,1
58,,"សហភាពសូវៀត",,"159.160.151.182.332.159.188.156.192.143","147.197",,,58,32,0,"09/08/19 13:31:52",,1
59,,"ប្រទេសកូរ៉េខាងត្បូង",,"148.364.145.193.352.128.188.154.207.193.322.182.314.143.358.188.132","147.197",,,59,33,0,"09/08/19 13:31:52",,1
60,,"សហរដ្ឋអាមេរិក",,"159.160.154.138.349.162.182.334.193.347.183.311","147.197",,,60,34,0,"09/08/19 13:31:52",,1
61,,"ប្រទេសអេហ៊្សីប",,"148.364.145.193.352.162.193.353.208.369.184.148","147.197",,,61,35,0,"09/08/19 13:31:52",,1
62,,"ប្រទេសអូស្ត្រាលី",,"148.364.145.193.352.162.188.159.353.364.182.337.184",,,,62,36,0,"09/08/19 13:31:52",,1
63,,"ប្រទេសកាណាដា",,"148.364.145.193.352.128.182.324.182.320.182",,,,63,37,0,"09/08/19 13:31:52",,1
64,,"ប្រទេសញូវហ៊្សេឡង់",,"148.364.145.193.352.137.188.156.160.208.369.193.354.132.903",,,,64,38,0,"09/08/19 13:31:52",,1
65,,"ចក្រភពអង់គ្លេស",,"133.128.364.151.150.162.132.903.130.365.193.352",,,,65,39,0,"09/08/19 13:31:52",,1
66,,"ប្រទេសជប៉ុន",,"148.364.145.193.352.135.148.207.187.334",,,,66,40,0,"09/08/19 13:31:52",,1
67,,"ប្រទេសបារាំង",,"148.364.145.193.352.148.182.336.200.132",,,,67,41,0,"09/08/19 13:31:52",,1
68,,"សហព័ន្ធរុស៊្សី",,"159.160.150.908.147.356.154.187.346.208.369.184",,,,68,42,0,"09/08/19 13:31:52",,1
69,,"ប្រទេសឡាវ",,"148.364.145.193.352.161.182.338",,,,69,43,0,"09/08/19 13:31:52",,1
70,,"ហុងកុង",,"160.187.319.128.187.319",,,,70,44,0,"09/08/19 13:31:52",,1
71,,"តៃវ៉ាន់",,"143.195.156.207.182.329.903",,,,71,45,0,"09/08/19 13:31:52",,1
72,,"អ៊ុយក្រែន",,"162.208.187.340.128.364.194.147",,,,72,46,0,"09/08/19 13:31:52",,1
73,,"ឥណ្ឌា",,"165.142.350.182",,,,73,47,0,"09/08/19 13:31:52",,1
85,,"ផ្សេងៗ (ក្រៅប្រទេស)",,"149.369.193.325.215.032.040.128.364.197.148.364.145.193.352.041",,,,85,48,0,"09/08/19 13:31:52",,1
